year,level_1,value
2011,"Overall Crime Rate Per 100,000 Population",608
2012,"Overall Crime Rate Per 100,000 Population",584
2013,"Overall Crime Rate Per 100,000 Population",555
2014,"Overall Crime Rate Per 100,000 Population",591
2015,"Overall Crime Rate Per 100,000 Population",611
2016,"Overall Crime Rate Per 100,000 Population",590
2017,"Overall Crime Rate Per 100,000 Population",582
2018,"Overall Crime Rate Per 100,000 Population",587
2019,"Overall Crime Rate Per 100,000 Population",616
2020,"Overall Crime Rate Per 100,000 Population",656
