year,level_1,value
2011,Total Persons Arrested,18561
2011,Singaporeans/ Permanent Residents/ Stateless,14668
2011,Foreigners,3893
2011,Above 21 Years Old,14280
2011,21 Years Old And Below,4281
2011,Youths (7 To 19 Years Old),3477
2012,Total Persons Arrested,18249
2012,Singaporeans/ Permanent Residents/ Stateless,14390
2012,Foreigners,3859
2012,Above 21 Years Old,14105
2012,21 Years Old And Below,4144
2012,Youths (7 To 19 Years Old),3359
2013,Total Persons Arrested,17002
2013,Singaporeans/ Permanent Residents/ Stateless,12984
2013,Foreigners,4018
2013,Above 21 Years Old,13198
2013,21 Years Old And Below,3804
2013,Youths (7 To 19 Years Old),3031
2014,Total Persons Arrested,17687
2014,Singaporeans/ Permanent Residents/ Stateless,13403
2014,Foreigners,4284
2014,Above 21 Years Old,13820
2014,21 Years Old And Below,3867
2014,Youths (7 To 19 Years Old),3120
2015,Total Persons Arrested,16929
2015,Singaporeans/ Permanent Residents/ Stateless,12693
2015,Foreigners,4236
2015,Above 21 Years Old,12844
2015,21 Years Old And Below,4085
2015,Youths (7 To 19 Years Old),3265
2016,Total Persons Arrested,17005
2016,Singaporeans/ Permanent Residents/ Stateless,12664
2016,Foreigners,4341
2016,Above 21 Years Old,13420
2016,21 Years Old And Below,3585
2016,Youths (7 To 19 Years Old),2788
2017,Total Persons Arrested,16636
2017,Singaporeans/ Permanent Residents/ Stateless,12231
2017,Foreigners,4405
2017,Above 21 Years Old,13047
2017,21 Years Old And Below,3589
2017,Youths (7 To 19 Years Old),2795
2018,Total Persons Arrested,17220
2018,Singaporeans/ Permanent Residents/ Stateless,12731
2018,Foreigners,4489
2018,Above 21 Years Old,13738
2018,21 Years Old And Below,3482
2018,Youths (7 To 19 Years Old),2703
2019,Total Persons Arrested,17146
2019,Singaporeans/ Permanent Residents/ Stateless,12641
2019,Foreigners,4505
2019,Above 21 Years Old,13692
2019,21 Years Old And Below,3454
2019,Youths (7 To 19 Years Old),2699
2020,Total Persons Arrested,15079
2020,Singaporeans/ Permanent Residents/ Stateless,11981
2020,Foreigners,3098
2020,Above 21 Years Old,11911
2020,21 Years Old And Below,3168
2020,Youths (7 To 19 Years Old),2422
