year,level_1,level_2,value
2011,Total Persons Arrested For Murder,Above 21 Years Old,18
2011,Total Persons Arrested For Murder,21 Years Old And Below,12
2011,Total Persons Arrested For Murder,Youths (7 To 19 Years Old),9
2011,Male Arrested For Murder,Above 21 Years Old,17
2011,Male Arrested For Murder,21 Years Old And Below,11
2011,Male Arrested For Murder,Youths (7 To 19 Years Old),8
2011,Female Arrested For Murder,Above 21 Years Old,1
2011,Female Arrested For Murder,21 Years Old And Below,1
2011,Female Arrested For Murder,Youths (7 To 19 Years Old),1
2011,Total Persons Arrested For Rape,Above 21 Years Old,30
2011,Total Persons Arrested For Rape,21 Years Old And Below,14
2011,Total Persons Arrested For Rape,Youths (7 To 19 Years Old),13
2011,Male Arrested For Rape,Above 21 Years Old,30
2011,Male Arrested For Rape,21 Years Old And Below,14
2011,Male Arrested For Rape,Youths (7 To 19 Years Old),13
2011,Female Arrested For Rape,Above 21 Years Old,0
2011,Female Arrested For Rape,21 Years Old And Below,0
2011,Female Arrested For Rape,Youths (7 To 19 Years Old),0
2011,Total Persons Arrested For Outrage Of Modesty,Above 21 Years Old,685
2011,Total Persons Arrested For Outrage Of Modesty,21 Years Old And Below,118
2011,Total Persons Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),81
2011,Male Arrested For Outrage Of Modesty,Above 21 Years Old,681
2011,Male Arrested For Outrage Of Modesty,21 Years Old And Below,115
2011,Male Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),79
2011,Female Arrested For Outrage Of Modesty,Above 21 Years Old,4
2011,Female Arrested For Outrage Of Modesty,21 Years Old And Below,3
2011,Female Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),2
2011,Total Persons Arrested For Robbery,Above 21 Years Old,177
2011,Total Persons Arrested For Robbery,21 Years Old And Below,127
2011,Total Persons Arrested For Robbery,Youths (7 To 19 Years Old),113
2011,Male Arrested For Robbery,Above 21 Years Old,167
2011,Male Arrested For Robbery,21 Years Old And Below,116
2011,Male Arrested For Robbery,Youths (7 To 19 Years Old),102
2011,Female Arrested For Robbery,Above 21 Years Old,10
2011,Female Arrested For Robbery,21 Years Old And Below,11
2011,Female Arrested For Robbery,Youths (7 To 19 Years Old),11
2011,Total Persons Arrested For Housebreaking,Above 21 Years Old,173
2011,Total Persons Arrested For Housebreaking,21 Years Old And Below,99
2011,Total Persons Arrested For Housebreaking,Youths (7 To 19 Years Old),91
2011,Male Arrested For Housebreaking,Above 21 Years Old,161
2011,Male Arrested For Housebreaking,21 Years Old And Below,90
2011,Male Arrested For Housebreaking,Youths (7 To 19 Years Old),82
2011,Female Arrested For Housebreaking,Above 21 Years Old,12
2011,Female Arrested For Housebreaking,21 Years Old And Below,9
2011,Female Arrested For Housebreaking,Youths (7 To 19 Years Old),9
2011,Total Persons Arrested For Theft Of Motor Vehicle,Above 21 Years Old,56
2011,Total Persons Arrested For Theft Of Motor Vehicle,21 Years Old And Below,140
2011,Total Persons Arrested For Theft Of Motor Vehicle,Youths (7 To 19 Years Old),116
2011,Male Arrested For Theft Of Motor Vehicle,Above 21 Years Old,55
2011,Male Arrested For Theft Of Motor Vehicle,21 Years Old And Below,128
2011,Male Arrested For Theft Of Motor Vehicle,Youths (7 To 19 Years Old),106
